contact_id,customer_id,product_id,channel,contact_date,responded
K000174,C005569,P007,sms,2026-03-05,0
K000175,C001164,P030,app_push,2025-05-04,0
K000176,C005458,P022,call,2025-05-29,0
K000177,C003812,P008,sms,2025-09-06,0
K000178,C002042,P002,app_push,2026-01-27,0
K000179,C004180,P024,call,2025-12-16,1
K000180,C001178,P008,manager,2025-04-10,1
K000181,C000692,P029,app_push,2025-12-17,0
K000182,C003612,P024,app_push,2025-10-05,0
K000183,C006970,P020,manager,2025-07-08,1
K000184,C007252,P010,app_push,2025-09-12,0
K000185,C002726,P019,manager,2025-06-22,1
K000186,C006158,P005,app_push,2025-08-31,0
K000187,C005211,P003,app_push,2025-06-23,0
K000188,C000049,P008,call,2025-11-30,0
K000189,C002582,P003,app_push,2025-04-12,0
K000190,C004558,P017,call,2025-07-20,0
K000191,C001131,P016,sms,2025-11-19,0
K000192,C003699,P013,app_push,2026-01-29,0
K000193,C000455,P006,app_push,2026-03-16,0
K000194,C005393,P029,call,2025-12-29,0
K000195,C007215,P003,app_push,2025-05-12,0
K000196,C004999,P025,call,2025-10-06,0
K000197,C005792,P014,sms,2025-10-29,0
K000198,C001022,P001,app_push,2025-06-23,0
K000199,C002986,P019,sms,2025-09-06,0
K000200,C007404,P019,manager,2025-12-04,0
K000201,C003898,P027,app_push,2025-12-18,0
K000202,C004611,P026,app_push,2025-05-04,1
K000203,C001873,P023,manager,2025-12-29,0
K000204,C002310,P026,call,2025-07-20,0
K000205,C003470,P024,manager,2025-06-07,1
K000206,C007122,P022,sms,2025-05-28,0
K000207,C003804,P030,sms,2025-04-19,0
K000208,C003166,P020,sms,2025-08-21,0
K000209,C004876,P022,sms,2025-06-03,0
K000210,C002637,P024,sms,2025-10-30,0
K000211,C000387,P020,call,2025-08-21,1
K000212,C002429,P008,app_push,2025-11-02,0
K000213,C004666,P016,manager,2025-06-11,0
K000214,C007344,P024,call,2025-05-14,0
K000215,C006708,P004,app_push,2025-05-18,1
K000216,C003380,P016,manager,2025-12-04,0
K000217,C005441,P015,sms,2025-09-16,0
K000218,C005625,P006,app_push,2025-10-11,0
K000219,C002757,P007,sms,2025-10-10,0
K000220,C006099,P005,sms,2025-07-18,1
K000221,C003729,P008,app_push,2025-09-14,1
K000222,C004634,P003,app_push,2025-08-02,0
K000223,C001570,P010,call,2025-05-10,0
K000224,C007331,P025,call,2026-01-11,0
K000225,C003444,P017,sms,2025-06-04,0
K000226,C007603,P008,sms,2025-06-16,0
K000227,C007110,P005,call,2025-10-17,0
K000228,C003864,P015,sms,2025-07-23,0
K000229,C002810,P013,sms,2025-07-12,0
K000230,C007955,P001,manager,2026-02-16,0
K000231,C004836,P001,manager,2025-10-03,0
K000232,C004888,P024,app_push,2025-12-07,0
K000233,C004319,P027,sms,2025-11-04,0
K000234,C004005,P027,app_push,2025-11-01,0
K000235,C002875,P002,sms,2025-10-28,0
K000236,C004296,P029,app_push,2025-12-30,0
K000237,C001401,P028,sms,2025-07-28,0
K000238,C004823,P022,manager,2025-12-16,0
K000239,C007087,P015,call,2025-08-08,0
K000240,C004976,P027,app_push,2025-07-24,0
K000241,C002482,P007,manager,2025-05-04,0
K000242,C007600,P028,manager,2025-11-19,0
K000243,C003019,P009,manager,2025-06-27,1
K000244,C002653,P027,app_push,2026-03-22,0
K000245,C000564,P026,call,2026-02-21,0
K000246,C004145,P029,call,2025-05-28,0
K000247,C006178,P002,manager,2025-08-30,1
K000248,C007172,P014,sms,2025-09-09,1
K000249,C002177,P014,sms,2025-04-03,0
K000250,C003958,P012,call,2025-10-27,0
K000251,C004995,P016,manager,2025-05-21,1
K000252,C001819,P018,sms,2025-09-29,0
K000253,C005456,P027,app_push,2025-08-13,0
K000254,C000462,P005,manager,2025-06-18,0
K000255,C004122,P019,sms,2025-06-13,0
K000256,C000278,P007,sms,2026-02-24,0
K000257,C007963,P001,manager,2026-02-23,1
K000258,C001084,P023,sms,2025-08-21,0
K000259,C001932,P020,sms,2025-10-27,0
K000260,C004411,P030,manager,2025-04-26,1
K000261,C004060,P015,call,2026-03-19,0
K000262,C001503,P007,manager,2025-12-22,0
K000263,C002856,P010,app_push,2025-09-19,0
K000264,C003319,P015,app_push,2025-09-23,0
K000265,C005105,P015,manager,2026-02-25,0
K000266,C003748,P029,call,2026-02-03,0
K000267,C001796,P008,sms,2026-03-01,1
K000268,C003905,P001,app_push,2025-06-06,0
K000269,C000957,P015,call,2025-12-06,0
K000270,C002362,P024,call,2025-07-22,0
K000271,C005070,P013,manager,2026-02-15,0
K000272,C000886,P007,sms,2026-03-23,0
K000273,C007282,P005,app_push,2025-04-20,0
K000274,C005990,P029,manager,2025-04-15,0
K000275,C005164,P005,app_push,2025-12-12,0
K000276,C003300,P030,app_push,2025-11-28,1
K000277,C002520,P018,app_push,2025-12-07,0
K000278,C002121,P014,manager,2026-02-09,0
K000279,C004817,P008,sms,2025-11-17,0
K000280,C006622,P027,app_push,2025-11-07,0
K000281,C003052,P020,call,2026-02-14,1
K000282,C005205,P008,manager,2025-09-11,1
K000283,C007259,P013,sms,2026-02-03,0
K000284,C004242,P028,manager,2026-03-04,0
K000285,C007801,P015,manager,2025-04-01,0
K000286,C002442,P001,sms,2025-10-16,0
K000287,C006426,P030,manager,2025-10-13,1
K000288,C005899,P006,app_push,2025-07-11,0
K000289,C003338,P014,sms,2025-10-03,0
K000290,C007070,P018,manager,2025-07-25,1
K000291,C007330,P010,app_push,2026-02-20,0
K000292,C007433,P029,call,2025-12-18,1
K000293,C004732,P007,sms,2025-08-13,0
K000294,C007132,P004,sms,2026-02-02,0
K000295,C006930,P021,manager,2026-01-12,1
K000296,C004316,P030,call,2025-04-24,0
K000297,C007283,P023,app_push,2025-11-12,0
K000298,C004210,P019,call,2025-12-02,1
K000299,C004920,P006,call,2025-12-23,0
K000300,C007736,P029,call,2025-12-14,1
K000301,C001172,P021,call,2025-10-27,0
K000302,C002128,P017,app_push,2025-08-26,0
K000303,C007244,P005,sms,2025-09-22,0
K000304,C003235,P025,call,2026-02-01,0
K000305,C006804,P003,call,2025-11-19,0
K000306,C001319,P015,app_push,2025-04-11,0
K000307,C005125,P011,manager,2025-11-14,1
K000308,C006220,P010,app_push,2026-03-11,0
K000309,C005506,P015,manager,2025-05-29,1
K000310,C005931,P024,manager,2025-04-04,1
K000311,C002952,P014,app_push,2025-04-28,0
K000312,C004156,P006,call,2025-08-30,0
K000313,C005481,P028,manager,2025-06-10,1
K000314,C004144,P022,manager,2025-11-29,0
K000315,C000617,P014,call,2025-04-01,0
K000316,C006728,P013,sms,2026-01-22,0
K000317,C006895,P007,sms,2026-03-16,0
K000318,C002744,P030,call,2025-07-05,0
K000319,C007390,P017,sms,2025-04-27,0
K000320,C004987,P025,manager,2026-01-30,0
K000321,C002579,P008,manager,2026-01-23,0
K000322,C005554,P029,call,2026-01-05,0
K000323,C003551,P012,app_push,2025-08-12,0
K000324,C001891,P027,call,2025-10-09,0
K000325,C004160,P014,call,2025-12-03,1
K000326,C000876,P021,manager,2025-11-18,0
K000327,C004139,P021,app_push,2025-06-30,0
K000328,C003759,P010,app_push,2025-04-29,0
K000329,C005524,P025,call,2026-02-02,0
K000330,C006475,P002,sms,2025-07-29,0
K000331,C001426,P025,sms,2025-08-18,0
K000332,C007201,P018,call,2026-02-01,0
K000333,C007783,P004,app_push,2026-01-07,0
K000334,C000974,P001,sms,2025-04-19,0
K000335,C002642,P026,app_push,2025-11-13,0
K000336,C007013,P012,call,2025-10-19,0
K000337,C004320,P012,manager,2025-11-06,1
K000338,C004513,P011,sms,2025-09-03,0
K000339,C004209,P017,sms,2025-11-20,1
K000340,C007959,P014,manager,2025-10-06,0
K000341,C005025,P022,app_push,2025-05-03,0
K000342,C002541,P001,call,2025-04-04,1
K000343,C002620,P011,manager,2025-05-18,0
K000344,C006305,P008,app_push,2025-09-04,0
K000345,C001899,P011,sms,2026-02-12,0
K000346,C001583,P025,app_push,2025-06-24,1
K000347,C006322,P019,sms,2026-01-13,0
K000348,C001428,P010,call,2026-03-06,0
K000349,C006352,P025,call,2025-04-17,0
K000350,C001926,P008,sms,2025-06-13,0
K000351,C001968,P010,call,2026-03-20,0
K000352,C005907,P023,sms,2026-01-23,0
K000353,C002989,P004,app_push,2025-05-04,0
K000354,C005676,P001,app_push,2025-06-11,1
K000355,C006825,P008,sms,2025-08-05,0
K000356,C002027,P005,sms,2025-06-26,0
K000357,C004501,P013,app_push,2025-12-23,0
K000358,C007364,P006,manager,2025-07-23,1
K000359,C000375,P001,call,2025-05-03,0
K000360,C001642,P027,call,2025-11-28,0
K000361,C004489,P023,manager,2025-07-08,1
K000362,C002361,P024,sms,2026-02-19,0
K000363,C006169,P005,call,2025-09-18,0
K000364,C002678,P005,call,2025-09-22,0
K000365,C006549,P022,manager,2026-02-24,0
K000366,C003193,P008,app_push,2025-07-08,0
K000367,C000808,P021,call,2025-12-01,0
K000368,C001541,P021,call,2026-01-23,1
K000369,C004772,P027,call,2026-02-05,0
K000370,C005428,P022,app_push,2026-03-22,1
K000371,C000907,P019,app_push,2025-05-15,0
K000372,C004509,P012,manager,2026-02-25,1
K000373,C005148,P003,call,2025-12-31,0
K000374,C000165,P023,call,2025-09-20,0
K000375,C000909,P015,app_push,2026-01-27,0
K000376,C000031,P020,sms,2026-01-16,0
K000377,C007271,P006,app_push,2025-12-14,0
K000378,C006733,P001,call,2025-04-26,0
K000379,C001959,P014,manager,2025-06-13,1
K000380,C003841,P024,call,2025-11-16,1
K000381,C002681,P017,manager,2025-04-02,1
K000382,C002671,P026,manager,2025-08-12,0
K000383,C006780,P012,call,2025-11-27,0
K000384,C000762,P023,sms,2025-05-17,0
K000385,C002781,P030,sms,2025-08-21,0
K000386,C007520,P024,manager,2025-10-24,1
K000387,C002196,P016,app_push,2025-06-30,1
K000388,C004503,P029,manager,2026-03-15,0
K000389,C003194,P012,app_push,2026-01-12,0
K000390,C001928,P023,sms,2025-06-14,0
K000391,C006263,P006,manager,2025-10-24,0
K000392,C007385,P022,call,2026-03-20,0
K000393,C000029,P024,call,2025-09-18,0
K000394,C007240,P016,call,2025-09-17,0
K000395,C006192,P015,manager,2025-05-30,1
K000396,C003890,P001,app_push,2025-12-06,0
K000397,C002795,P030,call,2025-08-01,0
K000398,C006940,P001,app_push,2025-06-23,0
K000399,C002522,P019,sms,2025-08-31,0
K000400,C005786,P026,app_push,2026-02-28,1
K000401,C006209,P016,call,2026-01-29,0
K000402,C001394,P011,call,2026-03-22,1
K000403,C006439,P012,app_push,2025-09-17,0
K000404,C005141,P020,manager,2025-09-19,1
K000405,C002150,P013,sms,2025-06-11,0
K000406,C001289,P015,manager,2025-08-03,1
K000407,C003244,P001,sms,2025-11-02,0
K000408,C007204,P024,app_push,2025-09-06,1
K000409,C001286,P014,manager,2025-11-25,0
K000410,C003368,P029,app_push,2025-07-24,1
K000411,C007265,P016,call,2025-12-28,0
K000412,C003795,P010,manager,2025-04-10,0
K000413,C004928,P028,call,2025-04-13,0
K000414,C001518,P002,call,2026-03-22,0
K000415,C003918,P028,call,2025-05-05,0
K000416,C004037,P006,sms,2025-05-03,0
K000417,C001177,P026,call,2026-01-05,0
K000418,C005728,P013,call,2025-10-02,0
K000419,C005540,P010,app_push,2025-06-22,0
K000420,C004141,P010,call,2026-01-18,0
K000421,C001687,P025,call,2025-07-17,0
K000422,C000530,P026,call,2025-04-19,1
K000423,C007910,P011,sms,2025-05-27,0
K000424,C004583,P007,app_push,2025-05-17,0
K000425,C006768,P027,call,2025-07-29,0
K000426,C001177,P028,app_push,2026-01-01,0
K000427,C001404,P014,app_push,2026-03-10,0
K000428,C005778,P022,manager,2025-06-05,0
K000429,C000026,P001,sms,2025-12-03,0
K000430,C000502,P020,manager,2026-02-26,1
K000431,C003851,P030,manager,2025-11-23,0
K000432,C007822,P003,sms,2025-04-24,0
K000433,C005933,P022,call,2026-02-19,0
K000434,C001156,P020,app_push,2025-12-26,0
K000435,C003218,P011,call,2025-04-28,0
K000436,C005016,P008,app_push,2025-04-25,0
K000437,C001639,P002,app_push,2025-05-01,0
K000438,C004499,P008,call,2025-05-11,0
K000439,C007118,P006,call,2026-03-24,0
K000440,C004584,P019,sms,2025-04-21,0
K000441,C002859,P030,manager,2026-03-11,1
K000442,C001133,P025,manager,2025-05-03,0
K000443,C004659,P007,app_push,2025-06-08,1
K000444,C002484,P029,app_push,2025-09-17,0
K000445,C002425,P018,manager,2026-02-09,1
K000446,C005390,P030,sms,2025-12-19,0
K000447,C004852,P018,app_push,2026-01-30,0
K000448,C001340,P018,sms,2025-07-05,0
K000449,C002231,P027,call,2026-01-23,0
K000450,C007567,P010,app_push,2026-01-10,0
K000451,C002889,P020,sms,2025-04-14,0
K000452,C004985,P019,sms,2026-01-14,0
K000453,C002184,P007,sms,2025-10-08,0
K000454,C001379,P016,app_push,2025-07-18,0
K000455,C006849,P020,sms,2026-03-01,0
K000456,C007848,P028,call,2026-03-09,0
K000457,C000058,P014,call,2025-11-01,1
K000458,C001659,P014,sms,2025-04-16,0
K000459,C003453,P011,app_push,2025-09-27,0
K000460,C005887,P004,call,2025-05-11,1
K000461,C006353,P022,manager,2025-12-19,0
K000462,C002100,P011,call,2025-04-14,0
K000463,C005403,P025,manager,2025-06-18,1
K000464,C002407,P006,manager,2025-08-06,1
K000465,C001246,P029,call,2025-12-07,0
K000466,C002719,P018,call,2025-09-20,0
K000467,C003193,P009,call,2025-06-21,0
K000468,C001480,P024,manager,2025-04-21,0
K000469,C007444,P017,call,2025-11-03,0
K000470,C007269,P009,app_push,2025-08-23,0
K000471,C000513,P022,manager,2025-08-30,1
K000472,C000844,P019,sms,2025-10-28,0
K000473,C001681,P024,app_push,2025-11-13,0
K000474,C003405,P020,sms,2025-08-03,0
K000475,C007954,P006,app_push,2025-07-10,0
K000476,C005477,P018,app_push,2025-11-05,0
K000477,C007711,P007,sms,2025-12-09,0
K000478,C001636,P019,call,2025-08-06,0
K000479,C003991,P006,sms,2025-10-02,0
K000480,C005276,P022,manager,2026-03-25,1
K000481,C003743,P018,manager,2025-11-15,1
K000482,C004758,P007,manager,2025-05-05,0
K000483,C006260,P026,app_push,2025-12-23,0
K000484,C007944,P008,manager,2025-08-25,1
K000485,C002695,P010,sms,2025-09-14,0
K000486,C007762,P008,call,2025-05-03,0
K000487,C002988,P011,call,2025-04-30,0
K000488,C004155,P005,sms,2025-06-11,0
K000489,C002868,P004,app_push,2025-11-19,0
K000490,C000422,P015,sms,2025-05-02,0
K000491,C007124,P005,sms,2025-10-20,0
K000492,C003523,P013,app_push,2025-12-13,0
K000493,C001189,P011,call,2026-01-25,1
K000494,C000231,P024,app_push,2025-06-12,0
K000495,C002865,P007,sms,2025-10-23,0
K000496,C005062,P027,manager,2025-10-24,1
K000497,C004931,P004,sms,2026-01-04,0
K000498,C003893,P001,app_push,2025-07-06,1
K000499,C005529,P019,call,2025-10-05,0
K000500,C000212,P014,call,2025-07-14,0
K000501,C003000,P028,sms,2025-08-20,0
K000502,C002037,P002,sms,2025-09-09,0
K000503,C006606,P020,call,2025-12-18,1
K000504,C006566,P020,sms,2025-05-04,0
K000505,C003637,P004,sms,2026-02-01,0
K000506,C003759,P007,call,2025-11-02,0
K000507,C003163,P023,call,2026-03-18,0
K000508,C000494,P025,app_push,2025-05-11,0
K000509,C001739,P013,sms,2025-06-06,0
K000510,C006301,P012,call,2025-05-22,1
K000511,C001474,P017,call,2026-02-28,0
K000512,C001860,P005,call,2026-03-09,0
K000513,C004655,P016,manager,2025-05-23,0
K000514,C001074,P017,sms,2025-05-17,0
K000515,C004647,P001,call,2026-01-14,0
K000516,C001747,P002,app_push,2026-01-29,0
K000517,C001455,P010,call,2026-01-18,0
K000518,C007027,P020,app_push,2025-06-16,0
K000519,C002514,P020,call,2025-10-11,0
K000520,C006984,P004,app_push,2025-05-10,0
K000521,C007856,P014,call,2025-12-17,0
K000522,C003470,P005,call,2025-09-29,0
K000523,C006904,P026,call,2025-10-06,0
K000524,C006629,P004,call,2025-11-15,0
K000525,C001016,P016,manager,2026-03-13,0
K000526,C006923,P024,manager,2025-10-14,1
K000527,C007582,P003,call,2025-06-08,0
K000528,C007145,P023,call,2025-05-27,0
K000529,C002049,P009,call,2025-10-18,0
K000530,C001206,P025,call,2026-03-14,1
K000531,C005559,P018,sms,2025-06-10,0
K000532,C005256,P008,sms,2025-12-11,0
K000533,C005980,P018,app_push,2025-07-15,1
K000534,C007448,P004,sms,2025-11-13,0
K000535,C005275,P023,sms,2025-08-11,0
K000536,C003819,P025,call,2025-09-06,0
K000537,C001927,P016,call,2025-04-23,0
K000538,C006438,P028,call,2025-05-01,0
K000539,C002261,P007,call,2025-06-12,0
K000540,C002439,P017,sms,2025-07-18,0
K000541,C006875,P025,sms,2025-09-17,0
K000542,C002380,P029,app_push,2025-07-05,0
K000543,C001857,P021,call,2025-05-27,0
K000544,C001332,P005,manager,2025-10-01,0
K000545,C007313,P026,app_push,2025-05-18,0
K000546,C000965,P021,sms,2025-09-19,0
K000547,C007863,P007,sms,2025-05-03,0
K000548,C007067,P029,call,2025-09-02,0
K000549,C001639,P030,app_push,2025-12-01,0
K000550,C002811,P014,app_push,2025-05-07,0
K000551,C007321,P007,sms,2026-02-08,0
K000552,C004785,P021,manager,2026-02-21,1
K000553,C007717,P014,sms,2025-07-10,0
K000554,C005420,P023,manager,2025-05-02,0
K000555,C003746,P015,manager,2025-12-25,1
K000556,C003665,P009,sms,2025-06-17,0
K000557,C001613,P017,call,2025-10-23,0
K000558,C000852,P017,call,2025-05-11,0
K000559,C001173,P016,manager,2026-03-06,1
K000560,C000642,P005,app_push,2025-09-30,0
K000561,C004459,P012,sms,2025-10-08,0
K000562,C003084,P015,call,2025-08-17,0
K000563,C003858,P003,app_push,2025-11-25,1
K000564,C007235,P024,manager,2026-02-13,0
K000565,C000817,P012,app_push,2026-03-18,1
K000566,C001560,P001,manager,2025-05-08,0
K000567,C002861,P013,app_push,2026-02-13,0
K000568,C003054,P019,sms,2025-09-27,0
K000569,C007038,P015,manager,2025-04-28,0
K000570,C003567,P010,manager,2026-01-22,0
K000571,C002929,P030,call,2025-09-07,0
K000572,C000457,P007,sms,2025-10-18,0
K000573,C004990,P009,app_push,2025-04-02,0
K000574,C000096,P019,manager,2025-05-21,1
K000575,C006854,P013,app_push,2025-07-12,0
K000576,C000115,P010,app_push,2025-11-24,0
K000577,C005973,P030,app_push,2025-05-04,0
K000578,C000464,P030,app_push,2025-12-27,1
K000579,C002041,P022,sms,2026-01-02,0
K000580,C000154,P008,app_push,2025-04-26,1
K000581,C001655,P021,manager,2025-07-31,0
K000582,C000981,P016,app_push,2025-12-22,0
K000583,C002503,P001,app_push,2026-03-13,0
K000584,C001609,P001,call,2025-08-08,0
K000585,C007214,P009,sms,2025-12-31,0
K000586,C004807,P002,sms,2025-06-25,0
K000587,C003962,P002,app_push,2026-03-25,1
K000588,C004731,P003,call,2025-05-20,0
K000589,C006116,P028,sms,2025-12-22,0
K000590,C002308,P025,app_push,2025-08-11,0
K000591,C002536,P027,sms,2025-09-13,0
K000592,C006827,P011,sms,2026-01-01,0
K000593,C004401,P020,sms,2026-01-10,0
K000594,C006224,P007,sms,2025-07-16,0
K000595,C006559,P004,app_push,2025-10-24,0
K000596,C005341,P006,sms,2025-05-15,0
K000597,C006970,P015,call,2025-09-29,0
K000598,C000990,P002,sms,2025-06-22,0
K000599,C006546,P012,app_push,2025-11-21,1
K000600,C002599,P004,app_push,2026-03-14,0
K000601,C003378,P002,manager,2025-08-04,0
K000602,C003719,P016,sms,2025-08-16,0
K000603,C007055,P017,manager,2026-01-10,1
K000604,C000320,P008,app_push,2026-03-13,1
K000605,C003486,P005,manager,2025-09-02,0
K000606,C004532,P003,app_push,2026-03-14,0
