holding_id,customer_id,product_id,amount,buy_date
H000350,C000928,P028,103536.62,2024-08-08
H000351,C000928,P023,36389.43,2025-05-17
H000352,C000928,P017,13410.73,2025-04-22
H000353,C005139,P030,21829.91,2025-08-15
H000354,C003579,P025,53823.53,2025-05-28
H000355,C003579,P022,71780.7,2025-09-26
H000356,C003579,P003,109952.73,2025-05-03
H000357,C003579,P022,24589.35,2025-01-06
H000358,C004443,P024,23361.08,2025-06-04
H000359,C004443,P020,72778.83,2025-05-26
H000360,C007473,P005,100000.0,2025-02-12
H000361,C007473,P018,58028.17,2025-03-22
H000362,C007473,P030,18483.5,2025-10-15
H000363,C007129,P017,15587.76,2025-01-26
H000364,C000240,P025,15802.53,2025-03-31
H000365,C000240,P002,49199.93,2025-11-18
H000366,C002967,P013,48688.47,2025-06-06
H000367,C003543,P014,14366.47,2025-06-30
H000368,C003543,P024,11008.36,2024-11-17
H000369,C003543,P008,33073.28,2025-09-20
H000370,C006207,P005,100000.0,2025-12-30
H000371,C006207,P002,54128.96,2025-12-11
H000372,C006207,P004,26526.75,2024-08-03
H000373,C003211,P009,50000.0,2025-04-16
H000374,C003211,P007,50000.0,2025-08-23
H000375,C003211,P013,230074.76,2025-07-31
H000376,C000102,P029,40596.97,2025-08-25
H000377,C000319,P014,59229.35,2026-01-21
H000378,C000319,P004,66567.6,2026-01-15
H000379,C000319,P026,20118.68,2025-05-17
H000380,C000319,P005,100000.0,2024-11-01
H000381,C004582,P020,15112.8,2025-12-20
H000382,C003188,P027,100000.0,2025-07-14
H000383,C000534,P010,50000.0,2025-07-25
H000384,C000534,P012,20246.97,2025-12-31
H000385,C000534,P016,100000.0,2024-09-09
H000386,C000738,P026,84877.45,2025-12-13
H000387,C001245,P008,56127.19,2025-07-13
H000388,C001245,P013,52322.52,2025-09-29
H000389,C001143,P023,49379.82,2025-04-03
H000390,C001143,P002,1895.51,2024-07-14
H000391,C004348,P008,32826.59,2025-08-11
H000392,C004348,P025,53060.83,2025-06-24
H000393,C007288,P022,41469.34,2025-01-16
H000394,C006527,P019,15267.75,2025-10-05
H000395,C006527,P003,50000.0,2025-07-02
H000396,C001329,P026,30757.17,2024-06-18
H000397,C007098,P009,50000.0,2025-06-06
H000398,C007098,P022,27136.71,2025-05-06
H000399,C007098,P006,83322.72,2025-07-10
H000400,C006614,P030,23266.54,2025-08-10
H000401,C001929,P025,72696.23,2025-01-11
H000402,C001929,P028,100000.0,2025-11-28
H000403,C001929,P017,13256.75,2026-01-04
H000404,C005005,P015,54021.14,2025-08-28
H000405,C005005,P024,36156.29,2025-08-01
H000406,C007545,P005,100000.0,2025-05-08
H000407,C007545,P030,68590.67,2024-09-06
H000408,C007545,P003,63855.43,2025-05-08
H000409,C007545,P025,56002.42,2025-05-12
H000410,C002772,P003,50000.0,2025-11-02
H000411,C002772,P010,112019.05,2025-09-03
H000412,C000473,P022,10000.0,2025-08-31
H000413,C000473,P018,10675.65,2026-01-18
H000414,C000473,P030,44795.58,2024-10-04
H000415,C005051,P017,17610.54,2025-12-21
H000416,C004077,P013,86551.76,2025-06-17
H000417,C003917,P020,113535.57,2025-04-14
H000418,C003917,P030,8681.01,2025-11-09
H000419,C003917,P015,63919.09,2026-01-08
H000420,C003917,P019,85523.82,2024-12-03
H000421,C000545,P018,22338.91,2025-03-18
H000422,C000545,P014,10000.0,2025-08-28
H000423,C007331,P023,24131.8,2025-02-02
H000424,C007331,P001,109687.32,2025-03-23
H000425,C005539,P029,52407.79,2025-01-27
H000426,C000335,P026,8684.03,2024-06-12
H000427,C007133,P025,75480.91,2025-05-03
H000428,C001316,P030,47847.64,2025-03-29
H000429,C001920,P014,108518.23,2025-10-08
H000430,C001920,P022,29412.95,2024-10-22
H000431,C001920,P025,17376.41,2025-06-05
H000432,C002185,P019,27755.82,2025-12-22
H000433,C003862,P007,50000.0,2024-12-01
H000434,C003862,P010,50000.0,2025-04-27
H000435,C003862,P008,32775.93,2025-12-06
H000436,C007410,P002,20833.31,2025-04-10
H000437,C004646,P028,140233.93,2024-12-30
H000438,C004646,P028,100000.0,2025-11-23
H000439,C004646,P012,21760.34,2025-05-18
H000440,C004646,P014,44968.6,2025-01-26
H000441,C000133,P016,100000.0,2025-09-09
H000442,C000133,P026,41293.97,2024-07-05
H000443,C003961,P006,50000.0,2025-05-15
H000444,C003961,P029,19551.24,2025-03-20
H000445,C006352,P026,46214.71,2025-02-28
H000446,C006352,P017,16728.51,2024-10-04
H000447,C006352,P027,100000.0,2025-04-23
H000448,C002246,P011,133810.89,2025-05-22
H000449,C002246,P019,27567.21,2024-07-02
H000450,C006147,P022,18102.86,2025-08-01
H000451,C006147,P003,53957.56,2025-05-21
H000452,C006147,P029,74340.16,2025-09-14
H000453,C002030,P014,66020.09,2025-05-06
H000454,C002030,P017,30538.9,2024-09-25
H000455,C002030,P008,12173.18,2025-06-23
H000456,C002030,P019,36372.22,2025-11-22
H000457,C000038,P012,56230.12,2025-07-07
H000458,C007637,P007,135723.62,2024-10-08
H000459,C007574,P006,50000.0,2026-01-19
H000460,C007574,P002,49994.58,2025-07-26
H000461,C002019,P014,16275.11,2025-08-07
H000462,C002112,P030,24429.39,2025-02-21
H000463,C002403,P004,81132.54,2024-07-27
H000464,C000749,P019,26708.21,2024-12-28
H000465,C000749,P020,11907.69,2025-09-17
H000466,C000749,P027,100000.0,2025-10-23
H000467,C007568,P001,50092.81,2026-01-19
H000468,C007568,P017,41612.84,2025-02-24
H000469,C002457,P014,23969.6,2025-10-14
H000470,C007513,P009,50000.0,2024-07-28
H000471,C007513,P011,68306.14,2025-08-11
H000472,C007513,P022,26189.92,2024-07-05
H000473,C007513,P022,13144.38,2024-12-09
H000474,C002345,P018,21061.24,2024-12-10
H000475,C000096,P013,111567.54,2025-06-18
H000476,C000096,P020,72410.62,2025-07-09
H000477,C006252,P018,28671.07,2024-10-02
H000478,C007865,P013,55068.36,2025-08-28
H000479,C007865,P008,42540.79,2025-03-01
H000480,C007865,P025,5597.38,2025-10-27
H000481,C005224,P014,13343.01,2025-10-04
H000482,C005224,P014,32382.77,2025-02-10
H000483,C002115,P030,23667.73,2024-09-30
H000484,C002587,P019,31753.55,2025-12-16
H000485,C005199,P017,21732.37,2026-01-15
H000486,C003440,P011,18325.6,2025-10-04
H000487,C003440,P009,50000.0,2025-01-02
H000488,C003440,P014,13961.03,2025-02-13
H000489,C003440,P019,12131.78,2025-09-03
H000490,C003555,P024,17528.49,2025-04-18
H000491,C003555,P009,50000.0,2025-04-27
H000492,C003555,P006,93095.93,2024-10-31
H000493,C000454,P008,26617.76,2025-08-14
H000494,C006585,P004,150222.54,2024-07-17
H000495,C002813,P007,50000.0,2024-08-15
H000496,C002813,P030,15195.14,2025-07-05
H000497,C002837,P027,100000.0,2025-12-04
H000498,C002837,P019,16310.99,2024-11-04
H000499,C002837,P022,68564.4,2024-12-02
H000500,C000252,P019,37861.5,2024-12-21
H000501,C006636,P027,135285.4,2025-07-25
H000502,C001023,P017,31100.97,2024-06-12
H000503,C001023,P009,50000.0,2024-12-19
H000504,C007648,P006,50000.0,2025-02-13
H000505,C007648,P007,50000.0,2024-12-10
H000506,C001011,P017,39143.83,2025-11-29
H000507,C001011,P009,50000.0,2024-09-17
H000508,C001011,P024,10988.58,2024-10-21
H000509,C001011,P006,50000.0,2026-01-21
H000510,C004650,P007,50000.0,2024-11-16
H000511,C006002,P021,100000.0,2025-11-30
H000512,C006002,P010,50000.0,2025-12-04
H000513,C006002,P021,100000.0,2024-09-26
H000514,C001673,P023,113040.63,2025-05-12
H000515,C001673,P005,100000.0,2025-12-02
H000516,C000626,P026,23182.21,2025-02-22
H000517,C007794,P011,16201.97,2025-06-04
H000518,C002111,P015,54941.34,2025-08-12
H000519,C001466,P013,16231.8,2025-06-03
H000520,C001466,P023,9980.52,2025-03-02
H000521,C007530,P020,18097.27,2025-11-26
H000522,C004735,P012,31734.46,2025-10-08
H000523,C004735,P007,60499.29,2025-03-21
H000524,C004735,P025,23412.83,2025-07-11
H000525,C004267,P019,51943.21,2024-09-03
H000526,C004267,P023,5043.69,2025-05-07
H000527,C003092,P018,18011.49,2024-12-31
H000528,C006973,P030,124918.22,2025-02-23
H000529,C001889,P014,23071.45,2026-01-02
H000530,C001609,P006,50000.0,2024-09-26
H000531,C001609,P025,49217.98,2025-02-16
H000532,C001609,P029,24932.94,2025-02-10
H000533,C001609,P016,100000.0,2025-11-15
H000534,C001745,P020,53755.58,2024-12-02
H000535,C001745,P026,28930.53,2025-07-22
H000536,C000158,P024,36402.22,2025-03-29
H000537,C002440,P017,15064.72,2024-12-13
H000538,C002440,P017,41149.28,2024-10-18
H000539,C002200,P016,100000.0,2025-09-10
H000540,C002200,P011,34790.53,2024-10-27
H000541,C003095,P013,22497.82,2025-06-28
H000542,C006214,P026,32575.92,2025-07-23
H000543,C000504,P003,50000.0,2025-12-07
H000544,C006187,P003,50000.0,2025-10-03
H000545,C006187,P022,47241.42,2025-12-07
H000546,C000316,P012,14625.42,2026-01-01
H000547,C000316,P005,110604.83,2025-09-11
H000548,C000711,P011,72735.57,2025-01-15
H000549,C000711,P023,46374.36,2025-09-06
H000550,C000711,P002,103638.78,2025-10-23
H000551,C003969,P023,63218.18,2025-09-04
H000552,C004175,P001,50000.0,2025-06-06
H000553,C004175,P004,21799.4,2025-01-04
H000554,C004175,P013,113442.9,2025-07-05
H000555,C003718,P008,10000.0,2025-08-08
H000556,C007083,P018,46930.4,2025-12-11
H000557,C007083,P030,1626.36,2024-11-10
H000558,C000857,P005,100000.0,2025-07-22
H000559,C000857,P010,50000.0,2025-06-06
H000560,C000857,P008,27105.89,2025-04-03
H000561,C003323,P016,100000.0,2024-12-01
H000562,C005003,P013,37017.45,2025-12-17
H000563,C005003,P001,50000.0,2025-03-03
H000564,C005003,P024,34359.92,2024-09-15
H000565,C005003,P030,47350.17,2025-08-23
H000566,C002657,P012,20521.22,2025-05-18
H000567,C002657,P014,10000.0,2025-04-24
H000568,C002657,P001,52714.19,2025-07-03
H000569,C000320,P028,100000.0,2024-12-12
H000570,C000430,P010,118072.59,2025-08-01
H000571,C001019,P020,32389.37,2025-07-30
H000572,C001019,P017,48996.59,2024-06-17
H000573,C001019,P028,100000.0,2025-02-04
H000574,C001427,P030,26843.57,2025-08-12
H000575,C003704,P020,98434.43,2025-10-28
H000576,C003704,P012,22306.17,2025-06-21
H000577,C006544,P015,50000.0,2025-05-04
H000578,C006544,P018,46895.26,2025-08-03
H000579,C002108,P003,61311.5,2025-06-19
H000580,C002108,P009,67115.62,2025-07-15
H000581,C007146,P030,34606.33,2025-11-12
H000582,C006606,P020,13990.72,2026-01-02
H000583,C007531,P030,66551.83,2025-09-12
H000584,C007531,P011,32596.17,2025-06-08
H000585,C007531,P027,100000.0,2025-04-06
H000586,C007531,P009,50000.0,2025-03-20
H000587,C007979,P004,21056.78,2024-12-30
H000588,C007945,P018,44093.57,2025-07-24
H000589,C001194,P002,53136.04,2024-10-22
H000590,C006358,P001,50000.0,2024-07-13
H000591,C005741,P027,121251.88,2025-09-12
H000592,C005741,P020,23516.84,2024-08-02
H000593,C001841,P004,75770.21,2025-01-20
H000594,C001863,P014,19783.26,2024-12-31
H000595,C001863,P023,6565.25,2026-01-13
H000596,C005837,P007,66945.57,2024-10-09
H000597,C005837,P022,41581.88,2024-10-09
H000598,C005837,P018,45241.61,2026-01-06
H000599,C005837,P016,100000.0,2025-04-05
H000600,C007774,P025,21716.62,2025-07-06
H000601,C006700,P007,53859.22,2025-03-23
H000602,C003046,P016,100000.0,2025-08-10
H000603,C003046,P013,83420.53,2025-10-26
H000604,C003046,P026,40804.94,2024-07-20
H000605,C003046,P014,19046.42,2025-03-03
